model,dataset,setting,table_target,source_score,provenance_status,source_group,metric_path,judge_or_eval,recommended_release_entry,source_equivalent_legacy_entry,note
Gemma3 12B,DynaMath,I-Q-Q,35.05,35.0499001996008,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,DynaMath,Q-I,32.99,32.99401197604791,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,I-I-Q,40.27,40.26845637583892,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,I-Q,36.91,36.91275167785235,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,I-Q-I,37.58,37.58389261744966,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,I-Q-I-Q,37.14,37.13646532438479,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,I-Q-Q,35.79,35.79418344519016,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,LogicVista,Q-I,34.45,34.45190156599553,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_LogicVista_gpt4o-mini_score.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,I-I-Q,75.54,75.54179566563467,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,I-Q,75.23,75.23219814241486,exact_or_rounding,runs/gemma3_12b_reference4_image_text_20260422,runs/gemma3_12b_reference4_image_text_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_gemma3_12b_reference4_image_text_20260422.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,I-Q-I,78.02,78.0185758513932,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,I-Q-I-Q,79.18,79.17956656346749,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,I-Q-Q,76.78,76.78018575851394,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMBench_DEV_EN_V11,Q-I,73.53,73.52941176470588,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMBench_DEV_EN_V11_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,I-I-Q,50.88,50.87514585764295,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,I-Q,51.58,51.5752625437573,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,I-Q-I,52.16,52.15869311551925,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,I-Q-I-Q,52.98,52.975495915985995,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,I-Q-Q,54.03,54.02567094515752,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMMU_DEV_VAL_SINGLE_IMAGE,Q-I,50.18,50.175029171528585,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMMU_DEV_VAL_SINGLE_IMAGE_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMStar,I-I-Q,55.53,55.53333333333333,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMStar,I-Q,54.73,54.733333333333334,exact_or_rounding,runs/gemma3_12b_reference4_image_text_20260422,runs/gemma3_12b_reference4_image_text_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_gemma3_12b_reference4_image_text_20260422.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,deep_score_scan_exact
Gemma3 12B,MMStar,I-Q-I,55.73,55.733333333333334,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMStar,I-Q-I-Q,56.8,56.8,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMStar,I-Q-Q,55.13,55.13333333333333,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MMStar,Q-I,47.8,47.8,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MMStar_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MathVision,I-I-Q,31.84,31.842105263157894,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MathVision,I-Q,31.15,31.15131578947368,exact_or_rounding,runs/gemma3_12b_reference4_image_text_20260422,runs/gemma3_12b_reference4_image_text_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_gemma3_12b_reference4_image_text_20260422.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,deep_score_scan_exact
Gemma3 12B,MathVision,I-Q-I,32.37,32.36842105263158,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MathVision,I-Q-I-Q,31.38,31.38157894736842,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MathVision,I-Q-Q,32.04,32.03947368421053,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,MathVision,Q-I,32.53,32.5328947368421,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_MathVision_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,I-I-Q,72.0,72.0,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,I-Q,72.9,72.9,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,I-Q-I,70.7,70.7,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,I-Q-I-Q,71.1,71.1,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,I-Q-Q,72.7,72.7,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,OCRBench,Q-I,70.1,70.1,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_OCRBench_score.json,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,I-I-Q,67.28,67.28151075977163,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,I-Q,67.15,67.14975845410628,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,I-Q-I,68.07,68.07202459376373,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,I-Q-I-Q,67.41,67.41326306543698,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,I-Q-Q,67.28,67.28151075977163,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,SEEDBench2_Plus,Q-I,62.36,62.36275801493193,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_SEEDBench2_Plus_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,I-I-Q,17.55,17.5513698630137,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,I-Q,16.44,16.43835616438356,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,I-Q-I,16.95,16.95205479452055,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,I-Q-I-Q,16.18,16.18150684931507,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,I-Q-Q,17.12,17.123287671232877,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,VisualPuzzles,Q-I,17.64,17.636986301369863,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_VisualPuzzles_gpt4o-mini_acc.csv,rule/local-or-unknown,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
