id,final_table_scope,source_cells,known_source_group,models,datasets,settings,recommended_release_entry,source_equivalent_legacy_entry,judge_seen_in_source,notes
qwen25_32b_iqq_summary,Qwen2.5 32B I-Q-Q cells sourced from summary CSV,5,runs/standard/20260307/_summary_csv_from_20260306_20260307,Qwen2.5 32B,AI2D_TEST; DynaMath; MathVision; OCRBench; SEEDBench2_Plus,I-Q-Q,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_tp2_3node_dataset_default.sh,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_tp2_3node_dataset_default.sh,gpt-4o plus rule/local metrics,Exact provenance is a generated summary from the 20260306/20260307 standard runs.
qwen25_32b_single_old_sources,Qwen2.5 32B isolated legacy cells from old one-off sweeps,3,runs/standard/20260304/qwen25_32b_newsets_last1_1node8gpu; runs/by_setting_qwen25vl32b_image2_transforms_20260401; runs/by_setting_qwen25vl32b_unified_topology_image2_20260404,Qwen2.5 32B,OCRBench; SEEDBench2_Plus,I-I-Q; I-Q-I,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_1node_8gpu.sh,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_1node_8gpu.sh,gpt-4o-mini plus rule/local metrics,"For strict historical provenance, use the named image2/topology matrices. For table coverage, the backfill manifest is the cleaner release route."
legacy_dynamath_infer_only,Legacy DynaMath infer-only cells for Qwen2.5 72B/7B/3B and MiniCPM-V,19,runs/by_setting_legacy_dynamath_infer_only_all_replay_last1_default,Qwen2.5 3B; Qwen2.5 7B; Qwen2.5 72B; MiniCPM-V,DynaMath,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_legacy_dynamath_infer_only_all_replay.sh,,gpt-4o,Preserved because several table rows were generated by this legacy infer-only path.
minicpm_table_20260406,MiniCPM-V/O legacy table cells on core perception/reasoning sets,33,runs/by_setting_qwen25vl7b_minicpm45_table_20260406,MiniCPM-V; MiniCPM-o,AI2D_TEST; DynaMath; MathVision; OCRBench; SEEDBench2_Plus,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_qwen25vl7b_minicpm45_table_20260406.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,gpt-4o-mini plus rule/local metrics,"Despite the matrix name, current final-table provenance from this group is MiniCPM-only."
minicpm_infer_only_20260317,"MiniCPM-V/O infer-only cells on AI2D, OCRBench, SEEDBench2_Plus",26,runs/infer_only/20260317,MiniCPM-V; MiniCPM-o,AI2D_TEST; OCRBench; SEEDBench2_Plus,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_minicpm_default_infer_only_fresh_20260317.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,bash scripts/run_minicpm_remaining_balanced_node0_20260317.sh and bash scripts/run_minicpm_remaining_balanced_node1_20260317.sh,gpt-4o-mini plus rule/local metrics,Use node0/node1 helpers if reproducing the old balanced split directly.
minicpm_logicvista,MiniCPM-V/O LogicVista all replay modes,12,runs/minicpm_logicvista_all_replay_eval_20260419,MiniCPM-V; MiniCPM-o,LogicVista,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_minicpm_logicvista_all_replay_eval_20260419.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,rule/local-or-unknown,Clean eval/re-align run for LogicVista.
minicpm_visualpuzzles,MiniCPM-V/O VisualPuzzles all replay modes,12,runs/minicpm_visualpuzzles_all_replay_eval_realign_20260420,MiniCPM-V; MiniCPM-o,VisualPuzzles,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_minicpm_visualpuzzles_all_replay_eval_realign_20260420.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,rule/local-or-unknown,"Use the realign matrix, not the earlier smoke eval matrix, for final-table parity."
manual_qwen25_72b_mathvision_qi,Manual override provenance for Qwen2.5 72B MathVision Q-I,1,runs/standard/20260313/missing_qwen25_72b_text_image_default_prompt,Qwen2.5 72B,MathVision,Q-I,bash scripts_legacy/run_missing_qwen25_72b_text_image_default_1node2workers_tp4.sh,bash scripts_legacy/run_missing_qwen25_72b_text_image_default_1node2workers_tp4.sh,gpt-4o-mini,final_table.csv target is 40.00; aligned artifact is 39.2434 and was manually accepted on 2026-04-29.
manual_qwen25_32b_mathvision_iqiq,Manual override provenance for Qwen2.5 32B MathVision I-Q-I-Q,1,runs/by_setting_qwen25vl32b_unified_topology_image2_20260404,Qwen2.5 32B,MathVision,I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_qwen25vl32b_unified_topology_image2_20260404.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,gpt-4o-mini,final_table.csv target is 40.00; aligned artifact is 38.5197 and was manually accepted on 2026-04-29.
unresolved_qwen25_32b_mathvision_qi,Unresolved near-match provenance for Qwen2.5 32B MathVision Q-I,1,runs/standard/20260313/missing_qwen25_32b_text_image_default_prompt,Qwen2.5 32B,MathVision,Q-I,bash scripts_legacy/run_missing_qwen25_32b_text_image_default_1node4workers_tp2.sh,bash scripts_legacy/run_missing_qwen25_32b_text_image_default_1node4workers_tp2.sh,gpt-4o-mini,final_table.csv target is 38.65; best aligned artifact is 38.7829.
unresolved_qwen25_3b_mathvision_qi,Unresolved missing provenance for Qwen2.5 3B MathVision Q-I,1,runs/standard/20260313/missing_small_text_image_default_prompt,Qwen2.5 3B,MathVision,Q-I,bash scripts_legacy/run_missing_qwen2_qwen25_small_text_image_default_1node8workers.sh,bash scripts_legacy/run_missing_qwen2_qwen25_small_text_image_default_1node8workers.sh,gpt-4o,final_table.csv target is 22.24; no exact aligned metric file was found in the 20260429 provenance scan.
unresolved_qwen25_3b_mathvision_iqiq,Unresolved mismatch provenance for Qwen2.5 3B MathVision I-Q-I-Q,1,runs/standard/20260305/qwen2_qwen25_newsets_last1_2node16gpu,Qwen2.5 3B,MathVision,I-Q-I-Q,bash scripts_legacy/run_standard_qwen2_qwen25_small_newsets_last1_default_2node16workers.sh,bash scripts_legacy/run_standard_qwen2_qwen25_small_newsets_last1_default_2node16workers.sh,gpt-4o,final_table.csv target is 21.00; best aligned artifact is 19.9342 from an earlier source path.
